date,RicePriceLib,PapaPriceLb
1996-06-01,272.799999237061,
1997-06-01,336.588549296061,
1998-06-01,402.861523946126,
1999-06-01,387.241984049479,
2000-06-01,383.596186319987,
2001-06-01,441.061223347982,
2002-06-01,444.527854919434,
2003-06-01,505.450485229492,
2004-06-01,516.839762369792,
2005-06-01,503.223203023275,
2006-06-01,550.070594787598,
2007-06-01,599.579706827799,
2008-06-01,859.923690795898,
2009-06-01,814.152521769206,
2010-06-01,785.349843343099,
2011-06-01,890.870402018229,
2012-06-01,1011.08182271322,140.836289995076
2013-06-01,879.456873575846,206.242866848567
2014-06-01,855.310317993164,285.85860175808
2015-06-01,1186.9719136556,317.210645236098
2016-06-01,1146.13182576497,395.239079813991
2017-06-01,913.036748250326,242.286564058831
2018-06-01,861.800262451172,319.474021401413
