date,RicePriceKg,PapaPriceKg
1996-06-01,601.524002075195,
1997-06-01,742.177749633789,
1998-06-01,888.309666951497,
1999-06-01,853.868586222331,
2000-06-01,845.82958984375,
2001-06-01,972.539993286133,
2002-06-01,980.183924357096,
2003-06-01,1114.51834106445,
2004-06-01,1139.63168334961,
2005-06-01,1109.60715738932,
2006-06-01,1212.90567016602,
2007-06-01,1322.0732421875,
2008-06-01,1896.13173421224,
2009-06-01,1795.2063293457,
2010-06-01,1731.69643147786,
2011-06-01,1964.36926269531,
2012-06-01,2229.43539428711,310.490502793296
2013-06-01,1939.20241292318,454.687150837989
2014-06-01,1885.9592590332,630.209593326382
2015-06-01,2617.27307128906,699.328934010152
2016-06-01,2527.22064208984,871.351983723296
2017-06-01,2013.24599202474,534.149805447471
2018-06-01,1900.26960449219,704.318818040435
